gene.id	cdna.length
FBgn0040371	1062
FBgn0031082	1130
FBgn0052820	2191
FBgn0052230	448
FBgn0004034	2038
FBgn0053517	1632
FBgn0052819	2034
FBgn0027588	3135
FBgn0027588	3146
FBgn0031092	1129
FBgn0031081	3537
FBgn0002789	748
FBgn0000084	1249
FBgn0000258	1621
FBgn0027588	3138
FBgn0040028	1995
FBgn0031091	2222
FBgn0053502	1038
FBgn0053217	2221
FBgn0024989	3374
FBgn0052819	2191
FBgn0052857	1038
FBgn0062565	1164
FBgn0052230	388
FBgn0029521	1179
FBgn0031094	1101
FBgn0031080	596
FBgn0052350	2837
FBgn0024989	3354
FBgn0031089	1665
FBgn0041626	1164
FBgn0053517	4357
FBgn0024989	3400
FBgn0040028	1838
FBgn0027588	3089
FBgn0027588	3264
FBgn0031086	783
FBgn0031093	1882
FBgn0052826	72
FBgn0010215	2977
FBgn0052820	2034
FBgn0040372	6521
FBgn0000258	1598
FBgn0031090	2601
FBgn0260439	2440
FBgn0031085	1229
FBgn0000258	1485
FBgn0001337	4122
FBgn0004648	5836
FBgn0025637	1514
FBgn0025640	1176
FBgn0025637	1129
FBgn0023537	1949
FBgn0040373	1627
FBgn0011822	1304
FBgn0025634	1550
FBgn0029524	593
FBgn0025637	933
FBgn0024983	1703
FBgn0000108	5453
FBgn0052816	1819
FBgn0024983	1807
FBgn0052817	517
FBgn0000137	2677
FBgn0029525	4315
FBgn0025637	908
FBgn0025637	1030
FBgn0004648	5887
FBgn0025635	2189
FBgn0023534	1119
FBgn0025635	2178
FBgn0052816	1803
FBgn0025638	713
FBgn0025635	2246
FBgn0000022	917
FBgn0040373	1719
FBgn0023535	1260
FBgn0029523	1293
FBgn0040370	1498
FBgn0025637	855
FBgn0023536	2293
FBgn0023537	2123
FBgn0010019	2277
FBgn0004648	5098
FBgn0029522	590
FBgn0261446	1603
FBgn0021764	8954
FBgn0004170	1438
FBgn0260400	2505
FBgn0003575	4904
FBgn0002561	1095
FBgn0004648	3132
FBgn0004648	5898
FBgn0025637	846
FBgn0001341	3670
FBgn0004648	3143
FBgn0029526	1844
FBgn0040383	1234
FBgn0025381	2084
FBgn0024360	1374
FBgn0040366	1519
FBgn0260855	1749
FBgn0025633	4313
FBgn0028550	5980
FBgn0000826	1126
FBgn0040358	2271
FBgn0040382	2102
FBgn0029568	1603
FBgn0086368	2624
FBgn0040347	2173
FBgn0025641	5397
FBgn0040398	1108
FBgn0052813	3260
FBgn0013720	1277
FBgn0023169	2803
FBgn0029552	590
FBgn0026879	384
FBgn0025383	1079
FBgn0040338	462
FBgn0025639	6146
FBgn0024360	2319
FBgn0040361	1363
FBgn0004650	6585
FBgn0003638	3201
FBgn0040340	1893
FBgn0025616	1803
FBgn0000210	3867
FBgn0052813	4097
FBgn0021764	8978
FBgn0025620	1609
FBgn0025642	1599
FBgn0026143	2239
FBgn0002579	549
FBgn0052813	3975
FBgn0040345	1301
FBgn0261444	6963
FBgn0040349	832
FBgn0024361	1004
FBgn0040341	765
FBgn0024362	2368
FBgn0040360	1414
FBgn0021764	8837
FBgn0261444	6034
FBgn0027795	1713
FBgn0040365	491
FBgn0040340	2100
FBgn0002579	579
FBgn0040342	1741
FBgn0029538	1021
FBgn0023169	2697
FBgn0023169	2689
FBgn0040343	960
FBgn0040382	2169
FBgn0040348	2503
FBgn0040363	2148
FBgn0029535	475
FBgn0024987	3094
FBgn0040382	2123
FBgn0025641	4274
FBgn0024366	4117
FBgn0040364	1197
FBgn0052813	3444
FBgn0260986	1302
FBgn0040350	1817
FBgn0002579	611
FBgn0024365	3618
FBgn0029531	1682
FBgn0024985	3774
FBgn0029539	641
FBgn0040337	1369
FBgn0024986	1004
FBgn0003638	4838
FBgn0040357	693
FBgn0015799	3599
FBgn0040339	603
FBgn0013720	1391
FBgn0002579	580
FBgn0025641	5097
FBgn0040346	1511
FBgn0040351	2462
FBgn0040362	783
FBgn0040344	4069
FBgn0040367	1617
FBgn0029573	661
FBgn0040340	1896
FBgn0029538	1294
FBgn0024362	2386
FBgn0027343	2256
FBgn0052813	3703
FBgn0024362	2443
FBgn0027794	3382
FBgn0042146	321
FBgn0026876	2898
FBgn0040397	4774
FBgn0025394	3270
FBgn0040359	2710
FBgn0025621	3204
FBgn0029532	1565
FBgn0021764	8902
FBgn0040368	1611
FBgn0003638	4058
FBgn0029529	494
FBgn0024364	2438
FBgn0000210	4236
FBgn0004861	5863
FBgn0044047	1908
FBgn0005670	1685
FBgn0001404	3575
FBgn0000382	4107
FBgn0000667	3511
FBgn0040385	1543
FBgn0053548	1523
FBgn0024997	2283
FBgn0052808	855
FBgn0024897	2137
FBgn0003371	3110
FBgn0025391	2123
FBgn0003068	4527
FBgn0028969	2172
FBgn0029608	1223
FBgn0025628	2466
FBgn0003159	4415
FBgn0023516	2158
FBgn0024984	894
FBgn0014411	2540
FBgn0029629	1057
FBgn0000377	2331
FBgn0025631	2940
FBgn0040376	958
FBgn0003048	11763
FBgn0053218	611
FBgn0023507	1865
FBgn0011576	1582
FBgn0004655	5092
FBgn0028274	2032
FBgn0027296	2179
FBgn0003371	2931
FBgn0003517	1083
FBgn0024991	3146
FBgn0029603	1115
FBgn0023511	4251
FBgn0029594	1006
FBgn0023508	3662
FBgn0026089	437
FBgn0040899	319
FBgn0029589	720
FBgn0024993	1647
FBgn0023507	1944
FBgn0001404	2795
FBgn0023512	2307
FBgn0003371	2849
FBgn0052797	609
FBgn0052806	777
FBgn0040392	780
FBgn0023541	1683
FBgn0025628	2097
FBgn0260753	2910
FBgn0040388	2717
FBgn0003159	4266
FBgn0025390	6299
FBgn0025378	1096
FBgn0000810	3091
FBgn0023518	8145
FBgn0025626	2658
FBgn0023522	1733
FBgn0023509	3485
FBgn0040394	1919
FBgn0003371	3220
FBgn0023529	3185
FBgn0052803	845
FBgn0023521	1181
FBgn0003964	2513
FBgn0023524	3983
FBgn0025839	510
FBgn0025382	1422
FBgn0003371	3057
FBgn0040336	2044
FBgn0003371	2745
FBgn0025627	1095
FBgn0011566	1554
FBgn0013432	717
FBgn0025630	2070
FBgn0025624	1224
FBgn0004397	3938
FBgn0029606	561
FBgn0000382	4558
FBgn0003371	3021
FBgn0026873	842
FBgn0053513	4176
FBgn0025628	2434
FBgn0024991	2733
FBgn0040391	1643
FBgn0003371	4800
FBgn0000382	4769
FBgn0023511	3670
FBgn0023516	1928
FBgn0023514	1706
FBgn0053548	1759
FBgn0001330	3865
FBgn0023513	3444
FBgn0023507	1869
FBgn0040388	4183
FBgn0015036	1945
FBgn0025393	453
FBgn0003159	4882
FBgn0026087	1908
FBgn0025382	1520
FBgn0023550	1620
FBgn0027793	861
FBgn0040389	641
FBgn0003517	1032
FBgn0023522	1803
FBgn0023519	831
FBgn0023512	2457
FBgn0023525	1247
FBgn0029590	651
FBgn0023523	1276
